COMUNA,POSITIVOS CONFIRMADOS,% PC,RECUPERADOS,% R,ACTIVOS,% A
EL MANANTIAL,7,1,6,0.86,1,0.14
CAMPO VERDE,4,1,3,0.75,1,0.25
VILLA COLOMBIA,4,1,4,1,0,0
LA JOSEFINA,3,1,3,1,0,0
PARQUE BAVIERA,3,1,0,0,3,1
LAS ORQUIDEAS,2,1,2,1,0,0
PUCALPA I,2,1,1,0.5,1,0.5
VILLA RECREO II,2,1,2,1,0,0
ALTOS DE LA CAROLINA,1,1,1,1,0,0
BALCONES DEL ESTE,1,1,1,1,0,0
EL PARAISO,1,1,1,1,0,0
VILLA ADRIANA MARIA,1,1,1,1,0,0
VILLA DE LOS ANDES,1,1,1,1,0,0
VILLA DEL PRADO,1,1,0,0,1,1
VILLA RECREO III,1,1,0,0,1,1
VILLAS DEL VIENTO,1,1,1,1,0,0
